file,omega_rpm,axial_depth_m,boundary_m,label,kurtosis_1st_derivative,ar_coeff_2,d2_energy,skewness_1st_derivative,multi_axis_energy_asymmetry,d3_d4_subband_energy_ratio,coherence_at_dominant_resonant,impulse_factor,cross_axis_peak_delay,cross_spectral_centroid,phase_space_ellipsicity,bivariate_orbit_radius_ratio
time1_74.h5,8000.0,0.007,0.005321338763032498,1,2.228436782582483,-1.367007359233003,418260.63576436124,-0.6432176036055588,-0.3923250396814983,0.27993955134661636,0.9999544506016218,3.112409471167594,0.003913043478261047,589.0959244156328,0.783157444849993,0.3005546039195263
time1_75.h5,8500.0,0.001,0.003154848369242181,0,2.303087900112413,-0.034743394926310955,7678.387598844024,2.6202670943196655,-0.46737077028880636,0.1519358091895255,0.9999998750702996,2.206713072772141,8.021390374331194e-05,814.3854673999798,0.865393453277197,0.25787573208470205
time1_76.h5,8500.0,0.002,0.003154848369242181,0,1.829837384760621,-0.8732092251095046,48420.452378362694,0.7997340870952342,-0.4387058563862445,0.1493527771556282,0.9999996658198389,2.5042814372328137,0.00016042780748662389,638.0350636754072,0.861480357846287,0.2582421355685043
time1_77.h5,8500.0,0.003,0.003154848369242181,0,1.8855623838563285,-0.8199135233884697,52511.54219148813,0.4627143801553562,-0.42792202606872964,0.14923469408509304,0.9999995328281958,2.7107848908276133,0.00016042780748662389,611.498839084933,0.8564929643009845,0.26252449501260827
time1_78.h5,8500.0,0.004,0.003154848369242181,1,2.4138600589014376,-1.2787180315003113,222144.1775966884,-0.666283923806926,-0.3923314330057637,0.2502537656371145,0.9988719669432203,3.0112670592355073,0.0019251336898394866,629.1776703650238,0.7921830647412024,0.2984581201127352
time1_79.h5,8500.0,0.005,0.003154848369242181,1,2.4106291188760247,-1.4786153569079865,1355944.811542644,-0.8538807498606746,-0.32942308910564916,0.6024262314238578,0.9990315294085814,4.416513452201451,0.0019251336898394866,721.3838156552464,0.7558199221197579,0.2586834241125132
time1_80.h5,9000.0,0.001,0.0022662204522670426,0,2.491271574957538,-0.05006924163515647,8282.402780885768,1.976619566798929,-0.5162429214759148,0.19005754029591226,0.999999984919508,2.1704114928538063,0.0006349206349205438,816.9177294592872,0.9238681481352682,0.2834599880672217
time1_81.h5,9000.0,0.002,0.0022662204522670426,0,2.0217049590165597,-0.9318550967727565,25167.80626237453,0.91622765834567,-0.5000647472847148,0.18967737527901166,0.9999999714153471,2.342959533124626,0.00015873015873013596,702.1074699634684,0.9182116203872697,0.2858126016758542
time1_82.h5,9000.0,0.003,0.0022662204522670426,1,2.4928162030291268,-1.5064631945079698,1318591.1590364855,-1.240160263968302,-0.37797301741859635,0.7382994839458388,0.9977486070359759,4.904694620559441,0.0018253968253965636,814.0910163634243,0.7429273359666335,0.26135440575325586
time1_83.h5,9000.0,0.004,0.0022662204522670426,1,2.380948109299906,-1.4862103599773626,4246915.668483397,-0.7283904332784679,-0.3534736041212375,0.993789208133346,0.9969300574331522,6.857069634249308,0.0018253968253965636,899.6066715985968,0.7390707904370949,0.2573881907941109
time1_84.h5,9500.0,0.001,0.001813142078071514,0,3.1521705416295713,-0.04349300762842101,9266.15645385618,2.143852463330985,-0.49242806602817896,0.25327925027633735,0.999999996651983,2.2109692047888383,7.894736842105343e-05,876.7490852935267,0.9924316616470307,0.269621922999557
time1_85.h5,9500.0,0.002,0.001813142078071514,1,2.2861974840298567,-0.9207495914477318,31212.476749822454,0.9968687788245778,-0.4744583859615427,0.24521110347642908,0.9999999907144654,2.41329401673959,7.894736842105343e-05,745.6972061535178,0.9719678385530879,0.2834554520257476
time1_86.h5,9500.0,0.003,0.001813142078071514,1,2.57853663074526,-1.3591497368027023,618936.7009614795,-1.388655677945059,-0.38219483523853476,0.6281217577199335,0.9980181541477794,4.451732212143882,0.006157894736842168,819.2877435236768,0.7448785243412438,0.2530614437744608
